location,total_sqft,bath,price,BHK
Sarjapur  Road,1320.0,2.0,115.0,2
8th Phase JP Nagar,1431.5,3.0,72.02,3
Whitefield,1320.0,2.0,99.26,2
Whitefield,2901.0,4.0,190.0,3
GM Palaya,1315.0,2.0,65.0,3
other,1000.0,2.0,44.0,2
Hosakerehalli,1596.0,3.0,79.8,3
Bannerghatta Road,1750.0,3.0,130.0,3
Whitefield,2403.0,4.0,270.0,4
Old Madras Road,1350.0,3.0,47.25,3
other,1175.0,2.0,79.0,2
Talaghattapura,921.0,2.0,29.47,2
Sultan Palaya,1713.0,3.0,125.0,3
other,1200.0,2.0,43.0,2
8th Phase JP Nagar,1900.0,4.0,90.0,3
Kudlu Gate,1664.0,3.0,68.0,3
Binny Pete,1795.0,3.0,139.0,3
Kereguddadahalli,600.0,1.0,19.5,1
Hoodi,1240.0,2.0,65.0,2
Hegde Nagar,1965.0,4.0,132.0,3
Vishveshwarya Layout,600.0,4.0,99.0,3
Electronics City Phase 1,1200.0,2.0,59.76,2
other,1112.0,2.0,68.0,2
Raja Rajeshwari Nagar,3000.0,3.0,60.0,3
Mahadevpura,1136.0,2.0,64.5,2
Jigani,914.0,2.0,55.0,2
Rachenahalli,1050.0,2.0,47.25,2
Marathahalli,1385.0,2.0,68.5,3
other,990.0,2.0,35.0,2
Yelahanka,845.0,2.0,43.0,2
Whitefield,1485.0,2.0,96.51,2
Kanakapura,1460.0,2.0,43.79,3
Thanisandra,1450.0,2.0,57.0,2
HSR Layout,1360.0,2.0,53.0,3
Singasandra,1375.0,2.0,58.0,2
Uttarahalli,1125.0,2.0,48.0,2
Banashankari,720.0,1.0,60.0,1
7th Phase JP Nagar,1460.0,2.0,100.0,3
other,1107.0,2.0,40.0,2
other,1158.0,2.0,75.0,2
Yelachenahalli,800.0,1.0,30.0,2
Bhoganhalli,1760.0,3.0,128.0,3
other,3200.0,4.0,200.0,4
HAL 2nd Stage,600.0,3.0,145.0,2
TC Palaya,1350.0,3.0,60.0,3
Giri Nagar,600.0,6.0,100.0,6
other,1125.0,2.0,32.49,2
Frazer Town,1706.0,3.0,154.0,3
BTM Layout,1600.0,3.0,112.0,3
other,1200.0,2.0,90.0,2
Whitefield,1755.0,3.0,101.0,3
Hulimavu,1200.0,2.0,50.0,2
BEML Layout,1200.0,2.0,67.0,2
other,1266.67,2.0,69.0,2
Sector 7 HSR Layout,1200.0,4.0,275.0,3
2nd Phase Judicial Layout,1300.0,3.0,64.0,3
other,800.0,3.0,60.0,3
Mysore Road,1029.5,2.0,50.855,2
Raja Rajeshwari Nagar,1128.0,2.0,40.0,2
other,2000.0,2.0,160.0,2
Panathur,1210.0,2.0,80.0,2
Arekere,2710.0,6.0,142.0,4
Raja Rajeshwari Nagar,1151.0,2.0,39.0,2
Electronic City,1017.0,2.0,27.0,2
Sarjapur  Road,920.0,2.0,40.0,2
HRBR Layout,1200.0,3.0,180.0,4
other,1000.0,5.0,140.0,5
Munnekollal,1750.0,3.0,86.5,3
Dasanapura,1163.0,2.0,65.0,2
other,1800.0,3.0,95.0,3
CV Raman Nagar,1100.0,2.0,58.0,2
R.T. Nagar,1200.0,2.0,60.0,2
other,1410.0,3.0,65.0,3
Begur Road,1933.0,3.0,98.0,3
Begur Road,1200.0,2.0,45.6,2
Whitefield,1608.0,2.0,63.0,3
other,2679.0,5.0,280.0,4
Horamavu Banaswadi,1156.0,2.0,46.9,2
other,1230.0,2.0,75.0,2
Kasavanhalli,770.0,1.0,43.82,1
Ardendale,1777.26,3.0,105.0,3
Kanakpura Road,1339.0,2.0,85.0,2
Sarjapur  Road,3044.0,3.0,183.0,3
other,1080.0,2.0,44.8,2
other,3150.0,5.0,145.0,8
other,2400.0,2.0,135.0,2
Hulimavu,1450.0,3.0,72.0,3
Kothanur,1075.0,2.0,53.0,2
Sarjapur  Road,1163.0,2.0,62.0,3
other,1200.0,8.0,135.0,8
Marathahalli,3090.0,4.0,325.0,4
Hebbal,1299.0,2.0,100.0,2
HRBR Layout,1170.0,2.0,75.0,2
JP Nagar,2195.0,2.0,152.0,3
Yelahanka,2600.0,4.0,175.0,4
KR Puram,1140.0,2.0,43.32,2
Kanakpura Road,1900.0,3.0,125.0,3
Electronic City,1110.0,2.0,39.95,2
HBR Layout,1089.0,2.0,60.0,2
other,880.0,2.0,48.0,2
Kereguddadahalli,1080.0,2.0,32.0,2
Thanisandra,1093.0,2.0,68.1,2
Banashankari Stage III,1480.0,3.0,75.48,3
Hegde Nagar,1703.0,3.0,125.0,3
Hebbal,1200.0,2.0,60.0,2
Marathahalli,1690.0,3.0,116.0,3
Yelahanka,1305.0,2.0,78.0,2
Talaghattapura,1257.0,2.0,40.22,3
other,1150.0,2.0,45.0,2
other,1194.0,2.0,55.0,2
other,2000.0,3.0,90.0,3
Anekal,1500.0,4.0,99.0,3
other,1025.0,2.0,42.5,2
Horamavu Agara,980.0,2.0,38.19,2
Hosakerehalli,1200.0,2.0,100.0,3
Whitefield,2225.0,3.0,149.0,3
other,1022.0,2.0,57.0,2
other,882.0,3.0,72.0,4
Narayanapura,1153.0,2.0,45.0,2
Pai Layout,1175.0,2.0,60.0,2
Vidyaranyapura,1560.0,3.0,68.0,3
Yelahanka New Town,650.0,1.0,17.0,1
other,600.0,3.0,65.0,3
Billekahalli,1350.0,3.0,55.0,2
other,1200.0,2.0,76.0,2
other,1200.0,1.0,54.0,2
Chandapura,800.0,2.0,25.0,2
Electronic City,2093.0,4.0,104.0,4
Bannerghatta Road,1275.0,2.0,73.0,2
Begur Road,1215.0,2.0,43.13,2
Begur Road,1444.0,2.0,71.5,3
other,950.0,2.0,38.0,2
Padmanabhanagar,1000.0,1.0,90.0,2
Banashankari Stage II,1240.0,2.0,59.52,3
2nd Stage Nagarbhavi,600.0,4.0,125.0,4
Hennur,1231.0,2.0,50.0,2
Benson Town,1300.0,2.0,120.0,2
Yeshwanthpur,1713.0,3.0,110.0,3
Sarjapur  Road,3004.0,4.0,158.0,3
Sonnenahalli,1310.0,2.0,46.0,3
Jalahalli,790.0,2.0,49.5,2
Koramangala,1744.0,3.0,200.0,3
other,1605.0,3.0,100.0,3
Whitefield,1250.0,2.0,82.0,2
Malleshwaram,2476.0,3.0,337.0,3
Subramanyapura,1260.0,2.0,76.0,3
Rajaji Nagar,1615.0,3.0,175.0,3
Yelahanka,1180.0,2.0,56.0,2
Uttarahalli,1255.0,2.0,50.19,3
Electronic City,1025.0,2.0,53.9,2
Sarjapur  Road,1877.0,4.0,150.0,3
Lakshminarayana Pura,1649.0,3.0,150.0,3
Hennur,2500.0,5.0,125.0,5
other,1542.0,3.0,98.0,3
other,1012.0,2.0,42.0,2
Chandapura,1200.0,2.0,65.0,2
Sarjapur  Road,1115.0,2.0,43.0,2
Green Glen Layout,1680.0,4.0,95.0,3
Old Madras Road,1171.0,2.0,72.0,2
Tumkur Road,1027.0,2.0,68.62,2
Shampura,1700.0,3.0,75.0,3
Kanakapura,1090.0,2.0,38.15,2
Hennur Road,1232.0,2.0,74.0,2
Anekal,766.0,2.0,28.0,2
Banashankari Stage III,1200.0,5.0,180.0,5
Kanakpura Road,525.0,1.0,27.0,1
JP Nagar,1452.0,2.0,41.0,3
Choodasandra,1254.0,2.0,65.0,3
other,3600.0,5.0,110.0,5
Kanakpura Road,1593.0,3.0,118.0,3
other,1333.0,2.0,77.27,2
other,1100.0,3.0,110.0,3
Raja Rajeshwari Nagar,1375.0,2.0,54.99,3
Ardendale,1650.0,3.0,82.0,3
Thanisandra,1430.0,2.0,51.48,3
Electronic City,940.0,2.0,54.0,2
Electronic City,435.0,1.0,21.0,1
Begur Road,1160.0,2.0,36.54,2
Electronic City,1500.0,2.0,77.5,3
Koramangala,1890.0,2.0,100.0,3
other,1050.0,2.0,70.0,2
Singasandra,1200.0,6.0,220.0,6
Haralur Road,1027.0,2.0,43.0,2
Whitefield,1495.0,2.0,61.28,3
Seegehalli,3000.0,4.0,235.0,3
Tumkur Road,1459.0,2.0,95.0,3
Yelahanka,1711.0,3.0,85.61,3
Hoodi,1250.0,2.0,98.0,2
Anandapura,875.0,2.0,57.0,2
Ramamurthy Nagar,1334.0,2.0,67.0,2
other,1140.0,2.0,32.92,2
Amruthahalli,1200.0,5.0,200.0,3
Rajaji Nagar,1776.0,3.0,190.0,3
Thigalarapalya,2072.0,4.0,160.0,3
Kundalahalli,1600.0,3.0,170.0,3
other,1200.0,4.0,115.0,6
Kengeri Satellite Town,920.0,2.0,39.0,2
Chandapura,778.0,2.0,25.29,2
Nagasandra,1310.0,3.0,95.0,4
Electronic City,1631.0,3.0,80.0,3
Kanakpura Road,525.0,1.0,27.5,1
Jalahalli,1395.0,3.0,82.0,3
other,2000.0,3.0,105.0,3
Hennur Road,1232.0,2.0,66.0,2
other,1075.0,2.0,55.0,2
Gubbalala,1205.0,2.0,70.0,2
Rayasandra,1179.0,2.0,55.0,3
Kodigehaali,1013.0,2.0,51.0,2
Uttarahalli,1160.0,2.0,40.6,2
7th Phase JP Nagar,1200.0,2.0,62.5,2
other,1200.0,5.0,80.0,7
other,1100.0,2.0,145.0,3
other,1200.0,3.0,99.0,3
Kudlu Gate,1400.0,1.0,285.0,1
Marathahalli,1065.0,2.0,55.0,2
Lakshminarayana Pura,1395.0,2.0,75.0,2
Hebbal Kempapura,1725.0,2.0,165.0,3
Kengeri,1436.0,2.0,55.0,3
Mysore Road,940.0,2.0,43.61,2
Hebbal,2850.0,5.0,343.0,3
Indira Nagar,1740.0,3.0,191.0,3
Dodda Nekkundi,1829.0,3.0,125.0,3
Whitefield,1800.0,4.0,178.0,4
other,1000.0,2.0,60.0,2
other,800.0,4.0,98.0,5
other,675.0,1.0,15.0,2
Hebbal,1390.0,2.0,95.0,2
Lakshminarayana Pura,1500.0,3.0,104.0,3
Vijayanagar,2047.0,3.0,136.0,3
Jakkur,1202.0,2.0,79.0,2
Gunjur,2132.0,3.0,80.0,3
Raja Rajeshwari Nagar,1350.0,4.0,340.0,4
Whitefield,605.0,1.0,40.0,1
Harlur,1331.0,2.0,88.0,2
Margondanahalli,1200.0,2.0,69.0,2
other,1150.0,2.0,250.0,2
Sahakara Nagar,1200.0,2.0,136.0,2
other,1800.0,2.0,300.0,2
Kammanahalli,600.0,2.0,50.0,3
other,1280.0,2.0,49.0,3
Balagere,1007.0,2.0,62.0,2
Thanisandra,1370.0,2.0,61.0,3
other,925.0,2.0,35.0,2
TC Palaya,1500.0,2.0,75.0,2
Attibele,450.0,1.0,12.5,1
Hennur Road,1341.0,2.0,95.0,2
2nd Phase Judicial Layout,1350.0,2.0,47.25,3
Tumkur Road,992.0,2.0,60.0,2
Uttarahalli,1163.0,2.0,68.0,2
Sarjapur  Road,1229.0,2.0,70.0,2
other,600.0,2.0,39.0,2
Electronic City Phase II,1219.0,2.0,61.26,2
Raja Rajeshwari Nagar,1525.0,2.0,99.13,3
Kasavanhalli,1147.0,2.0,60.0,2
Akshaya Nagar,1412.0,2.0,88.0,3
Sarjapur  Road,1044.0,2.0,34.77,2
Nagarbhavi,1190.0,2.0,63.0,2
other,1240.0,2.0,65.0,3
Jigani,1352.0,3.0,65.0,3
Uttarahalli,1330.0,2.0,39.9,3
other,1700.0,3.0,111.0,3
Electronic City,1355.0,2.0,67.0,2
Ramamurthy Nagar,1200.0,2.0,46.0,2
Kengeri,400.0,2.0,25.0,1
Sarjapur  Road,1342.0,2.0,70.0,2
Begur Road,1615.0,3.0,50.87,3
other,1340.0,2.0,65.0,2
Yeshwanthpur,400.0,1.0,55.0,1
Devanahalli,1080.0,2.0,52.0,2
other,1600.0,2.0,31.0,2
Electronic City,1200.0,2.0,34.0,2
Hennur Road,2700.0,3.0,150.0,3
other,1780.0,3.0,110.0,3
Amruthahalli,1605.0,3.0,65.0,3
other,646.0,2.0,65.0,3
Kammanahalli,1200.0,2.0,80.0,2
Margondanahalli,900.0,2.0,49.0,2
Sarjapur,1830.0,3.0,88.0,3
Vishwapriya Layout,690.0,4.0,83.0,5
other,1800.0,4.0,68.0,5
Chandapura,715.0,2.0,32.0,3
Chandapura,1230.0,2.0,31.37,3
Uttarahalli,1065.0,2.0,42.59,2
other,1350.0,8.0,185.0,8
other,1080.0,3.0,149.0,3
other,900.0,2.0,65.0,3
other,946.0,2.0,45.0,2
Laggere,1500.0,1.0,60.0,1
Sarjapur  Road,1711.0,3.0,110.0,3
other,1200.0,3.0,160.0,4
Chandapura,950.0,2.0,25.65,2
Kudlu Gate,1656.0,3.0,80.0,3
Uttarahalli,1075.0,2.0,46.76,2
Harlur,1752.12,3.0,133.0,3
6th Phase JP Nagar,600.0,4.0,125.0,4
LB Shastri Nagar,665.0,1.0,32.0,1
Sector 2 HSR Layout,1665.0,3.0,110.0,3
Electronics City Phase 1,1145.0,2.0,54.0,2
Whitefield,1185.0,2.0,41.0,2
other,1200.0,3.0,190.0,3
Marathahalli,1693.0,3.0,125.0,3
other,2456.0,3.0,220.0,3
Rajaji Nagar,2559.0,3.0,403.0,3
Uttarahalli,1155.0,2.0,40.6,2
other,1610.0,2.0,64.4,3
Whitefield,1200.0,3.0,56.58,3
other,1530.0,2.0,185.0,2
EPIP Zone,1709.0,3.0,80.0,3
Amruthahalli,600.0,4.0,60.0,4
Brookefield,2700.0,8.0,290.0,8
other,840.0,1.0,150.0,1
Gottigere,1400.0,2.0,50.0,3
KR Puram,1200.0,2.0,42.0,2
other,1439.0,3.0,57.23,3
Kasavanhalli,1375.0,2.0,72.0,2
BTM 2nd Stage,2990.0,5.0,416.0,5
Vijayanagar,1200.0,2.0,75.0,3
Yelahanka,1315.0,2.0,75.0,2
Dommasandra,1500.0,2.0,40.0,2
Yelahanka,3600.0,6.0,200.0,6
Vijayanagar,1178.0,2.0,82.0,2
Bannerghatta Road,1430.0,3.0,59.0,3
Mahadevpura,1400.0,2.0,65.8,3
Thanisandra,1093.0,2.0,72.0,2
Horamavu Banaswadi,1200.0,2.0,45.0,2
1st Block Jayanagar,1200.0,2.0,130.0,3
Whitefield,2210.0,3.0,156.0,3
Uttarahalli,1150.0,2.0,70.0,2
other,1435.0,2.0,60.0,3
other,600.0,3.0,100.0,4
Whitefield,1173.0,2.0,78.2,2
Thanisandra,1140.0,2.0,39.0,2
other,1717.0,3.0,120.0,3
Mallasandra,1325.0,2.0,65.0,2
Hoodi,1370.0,3.0,67.0,3
Electronics City Phase 1,1025.0,2.0,90.0,2
other,1409.0,2.0,62.0,3
Bellandur,1200.0,2.0,52.0,2
Thanisandra,1200.0,2.0,53.5,2
Whitefield,1740.0,4.0,130.0,3
Hennur Road,1232.0,2.0,88.0,2
Chandapura,1200.0,2.0,36.0,2
other,1250.0,2.0,50.0,2
other,1475.0,2.0,171.0,2
Bommanahalli,2100.0,4.0,85.0,4
5th Phase JP Nagar,552.0,1.0,23.5,1
Uttarahalli,1065.0,2.0,42.59,3
Hennur,1000.0,3.0,130.0,3
other,1225.0,2.0,65.0,2
other,650.0,1.0,16.0,1
Padmanabhanagar,1067.0,2.0,52.0,2
Sarjapur,1364.0,2.0,56.0,3
other,1750.0,3.0,75.0,3
Bannerghatta Road,1240.0,2.0,71.0,2
Hulimavu,1200.0,2.0,75.0,2
Kaggadasapura,1540.0,3.0,75.0,3
other,1504.0,2.0,102.0,3
other,1116.0,2.0,49.8,2
Hennur Road,2365.0,4.0,175.0,3
Sarjapura - Attibele Road,1308.0,2.0,37.0,2
Vijayanagar,864.0,2.0,45.0,2
Vidyaranyapura,1200.0,5.0,139.0,5
Hoskote,1069.0,2.0,38.0,3
Hebbal,1333.0,2.0,100.0,2
other,1800.0,4.0,145.0,4
Thanisandra,1698.0,3.0,107.0,3
JP Nagar,1275.0,2.0,43.6,3
Raja Rajeshwari Nagar,1060.0,2.0,48.0,2
Hennur,1160.0,2.0,49.0,2
Sarjapur  Road,1484.0,2.0,65.0,3
Hosa Road,675.0,3.0,70.0,3
BEML Layout,1200.0,5.0,325.0,3
Hennur Road,1310.0,2.0,66.0,2
Vijayanagar,1806.0,6.0,370.0,6
Varthur,2145.0,3.0,165.0,3
Jigani,1230.0,3.0,60.0,3
Devanahalli,1200.0,3.0,145.0,3
Bommasandra Industrial Area,1310.0,2.0,37.83,3
other,1150.0,2.0,60.0,2
Munnekollal,1385.0,2.0,66.5,3
Tumkur Road,1066.0,2.0,52.5,2
Thanisandra,2293.0,3.0,80.26,3
Tindlu,720.0,3.0,81.0,3
other,1625.0,3.0,92.0,3
Vijayanagar,2100.0,6.0,252.0,4
other,2400.0,4.0,250.0,4
7th Phase JP Nagar,1000.0,2.0,70.65,2
Nagavarapalya,907.0,2.0,38.0,2
Ulsoor,3500.0,4.0,138.0,4
Varthur,1395.0,2.0,79.0,3
other,1180.0,2.0,50.0,2
Banaswadi,1903.0,6.0,140.0,5
Electronic City,1175.0,2.0,47.0,2
other,1272.0,2.0,51.5,2
other,1490.0,2.0,92.0,3
Yeshwanthpur,1144.0,2.0,67.0,2
other,2400.0,5.0,140.0,4
Hormavu,1143.0,2.0,53.0,2
Karuna Nagar,2500.0,3.0,190.0,3
other,1044.0,2.0,60.0,2
Prithvi Layout,1352.0,3.0,93.0,2
Hennur Road,1552.0,3.0,75.0,3
Bellandur,1785.0,3.0,120.0,3
Pai Layout,810.0,2.0,34.5,2
Banashankari Stage V,1650.0,3.0,51.98,3
other,1595.0,3.0,70.39,3
Whitefield,1060.0,2.0,35.0,2
Babusapalaya,1410.0,2.0,65.0,3
Nagarbhavi,1523.0,2.0,56.0,3
Kanakpura Road,1591.0,3.0,122.0,3
other,1640.0,3.0,84.0,3
Yelahanka New Town,450.0,1.0,16.0,1
Bannerghatta Road,1305.0,2.0,60.0,3
Yelahanka,1590.0,3.0,54.0,3
Kaggadasapura,1240.0,2.0,45.0,2
Dodda Nekkundi,1100.0,2.0,41.16,2
Koramangala,1180.0,2.0,128.0,2
other,1567.2,2.0,190.0,3
Channasandra,1310.0,2.0,45.0,3
other,959.0,2.0,42.5,2
8th Phase JP Nagar,1200.0,4.0,140.0,4
Yelahanka,1390.0,2.0,70.21,2
Kenchenahalli,1280.0,2.0,69.0,3
other,1280.0,5.0,150.0,7
Kasturi Nagar,1000.0,2.0,58.0,2
Marathahalli,1196.0,2.0,57.9,2
Sarjapur  Road,1220.0,3.0,57.0,3
Ambalipura,950.0,2.0,31.95,2
other,1141.0,2.0,55.0,2
5th Phase JP Nagar,1200.0,2.0,51.0,2
Kasavanhalli,1380.0,2.0,55.0,3
Doddathoguru,855.0,2.0,32.0,2
Chandapura,922.0,2.0,36.0,2
other,1200.0,2.0,43.2,2
7th Phase JP Nagar,1070.0,2.0,42.0,2
other,1293.0,2.0,75.0,2
R.T. Nagar,1380.0,2.0,50.0,3
Yelahanka New Town,1599.0,3.0,80.0,3
Nehru Nagar,967.0,2.0,41.1,2
other,1885.0,3.0,90.0,3
other,860.0,2.0,65.5,2
Yelahanka,1075.0,1.0,19.5,1
Sarjapur  Road,1050.0,2.0,63.5,2
Marathahalli,1595.0,3.0,88.0,3
Sarjapur  Road,1350.0,2.0,102.0,2
Hebbal,1204.0,2.0,45.0,2
Sarjapur  Road,2990.0,4.0,240.0,4
Sarjapur  Road,1035.0,2.0,49.0,2
ITPL,1000.0,2.0,29.95,2
Sarjapur  Road,1457.0,3.0,85.0,3
Bannerghatta,1100.0,2.0,66.0,2
Whitefield,1655.0,3.0,120.0,3
Kanakpura Road,1691.2,3.0,115.0,3
Ramagondanahalli,1215.0,2.0,46.1,2
Kanakpura Road,1155.0,2.0,50.125,2
Hoodi,1639.0,3.0,129.0,3
Sarjapur  Road,1685.0,3.0,135.0,3
other,1008.0,4.0,180.0,5
Hormavu,1100.0,2.0,38.0,2
Marathahalli,2122.0,3.0,125.0,3
Vasanthapura,1050.0,2.0,47.0,2
Kengeri,1230.0,2.0,45.0,2
5th Phase JP Nagar,1240.0,3.0,60.0,3
Electronic City Phase II,1252.0,2.0,65.0,3
other,1374.0,2.0,88.0,3
8th Phase JP Nagar,500.0,1.0,30.0,1
Arekere,1200.0,8.0,225.0,8
Banashankari,1040.0,2.0,45.0,2
Sarjapur  Road,1350.0,2.0,68.0,2
Hennur,2400.0,3.0,135.0,3
Haralur Road,1560.0,3.0,90.0,3
Anandapura,1151.0,2.0,43.16,2
Uttarahalli,1360.0,2.0,47.59,3
Chandapura,1110.0,2.0,29.97,3
Hennur Road,1015.0,2.0,50.0,2
Kadugodi,1351.0,2.0,78.0,3
Yelahanka New Town,960.0,2.0,50.0,2
other,1110.0,2.0,52.0,2
R.T. Nagar,1680.0,3.0,72.0,3
Arekere,2400.0,3.0,180.0,3
other,1350.0,3.0,48.6,3
Horamavu Banaswadi,1254.0,2.0,47.0,2
Haralur Road,1255.0,3.0,115.0,3
CV Raman Nagar,1051.0,2.0,61.0,2
other,1200.0,3.0,205.0,3
Uttarahalli,1099.0,2.0,65.0,2
Hebbal,2650.0,4.0,199.0,3
other,2000.0,2.0,160.0,4
Yeshwanthpur,1541.0,2.0,130.0,2
Whitefield,1125.0,2.0,45.0,2
Vittasandra,1650.0,3.0,85.0,3
other,834.0,1.0,62.0,1
Gollarapalya Hosahalli,1320.0,3.0,60.0,3
Malleshpalya,1200.0,3.0,149.0,3
other,1000.0,7.0,160.0,8
Mysore Road,1500.0,3.0,74.0,3
other,600.0,1.0,52.0,1
Whitefield,1180.0,2.0,70.0,2
Kadugodi,1010.0,2.0,50.0,2
Channasandra,1070.0,2.0,38.0,2
Choodasandra,1580.0,3.0,105.0,3
other,1200.0,5.0,325.0,4
Green Glen Layout,2000.0,3.0,165.0,3
Sanjay nagar,1200.0,2.0,76.0,3
Kalena Agrahara,1040.0,2.0,45.0,2
Hulimavu,1430.0,2.0,90.0,3
Domlur,650.0,1.0,70.0,1
Thanisandra,1564.0,3.0,105.0,3
other,800.0,2.0,52.0,3
Hormavu,750.0,2.0,58.0,2
Kasavanhalli,1200.0,2.0,60.0,2
Begur Road,1200.0,2.0,44.4,2
other,2000.0,4.0,135.0,4
other,2750.0,3.0,260.0,3
Yelahanka,1650.0,3.0,105.0,3
1st Block Jayanagar,1235.0,2.0,148.0,2
Yelahanka,1200.0,2.0,55.0,2
other,900.0,5.0,100.0,6
Kengeri Satellite Town,985.0,2.0,42.0,2
Ramagondanahalli,1475.0,2.0,63.0,3
Hebbal,3450.0,5.0,348.0,3
Sarjapur  Road,1157.0,2.0,53.99,3
other,900.0,2.0,35.0,2
Gottigere,2500.0,3.0,120.0,4
GM Palaya,1030.0,2.0,60.0,2
other,1000.0,2.0,46.0,2
Sarjapur  Road,3800.0,3.0,325.0,4
Brookefield,1950.0,6.0,175.0,5
Kudlu,1570.0,2.0,65.94,3
Kanakapura,1283.0,2.0,68.0,2
Electronic City Phase II,875.0,2.0,40.0,3
other,1200.0,2.0,52.0,2
Konanakunte,2400.0,2.0,180.0,3
Old Madras Road,3630.0,6.0,196.0,4
Yelahanka,990.0,2.0,37.62,2
other,1280.0,2.0,90.0,2
1st Block Jayanagar,2750.0,4.0,413.0,4
other,1190.0,2.0,55.0,2
Yelachenahalli,1100.0,2.0,60.0,2
other,2075.0,3.0,175.0,3
Harlur,1133.0,2.0,55.0,2
Somasundara Palya,2400.0,3.0,140.0,4
Whitefield,1280.0,2.0,69.0,2
Horamavu Agara,1250.0,3.0,65.0,3
Begur Road,1565.0,2.0,49.3,3
other,1900.0,3.0,65.0,3
Munnekollal,1080.0,2.0,45.0,2
Battarahalli,600.0,1.0,47.0,1
other,1240.0,4.0,180.0,3
HRBR Layout,1335.0,2.0,87.0,3
JP Nagar,3496.5,2.0,237.5,3
Sarjapur  Road,1385.0,3.0,55.0,3
other,1578.0,3.0,73.9,3
Sarjapur  Road,1700.0,3.0,79.9,3
Vidyaranyapura,1120.0,2.0,70.0,2
Electronic City,435.0,1.0,22.0,1
Magadi Road,1116.0,2.0,51.89,2
Old Madras Road,1480.0,3.0,95.0,3
Hormavu,1000.0,2.0,50.0,2
HSR Layout,1145.0,2.0,46.0,2
Bommasandra,800.0,1.0,32.0,2
Thanisandra,1265.0,2.0,83.0,2
Devanahalli,1700.0,3.0,88.2,3
other,1475.0,2.0,70.0,2
BTM 2nd Stage,1265.0,2.0,55.0,2
1st Phase JP Nagar,2180.0,3.0,210.0,3
Brookefield,1080.0,2.0,50.0,2
Whitefield,2023.0,4.0,130.0,3
other,2400.0,2.0,125.0,2
Kadubeesanahalli,1545.0,2.0,66.0,3
Kalena Agrahara,1804.0,3.0,166.0,3
other,1200.0,2.0,200.0,2
6th Phase JP Nagar,1350.0,2.0,58.0,3
Hoodi,1108.0,2.0,74.23,2
Marathahalli,1730.0,3.0,115.0,3
other,1427.0,2.0,70.0,3
Yelahanka,935.0,2.0,35.53,2
Sarjapura - Attibele Road,1073.0,2.0,31.77,2
Ananth Nagar,960.0,2.0,37.0,2
Thigalarapalya,2215.0,4.0,150.0,3
Electronic City Phase II,1125.0,2.0,32.49,2
Brookefield,1230.0,2.0,55.0,2
Mahadevpura,1438.0,2.0,89.0,2
7th Phase JP Nagar,1080.0,2.0,75.0,2
Hebbal Kempapura,1200.0,3.0,125.0,3
Marathahalli,1200.0,1.0,103.0,2
Uttarahalli,1590.0,3.0,58.0,3
other,1350.0,3.0,68.0,3
Raja Rajeshwari Nagar,1400.0,2.0,48.0,3
Kaggadasapura,1560.0,2.0,72.0,3
Mallasandra,1810.0,3.0,57.0,4
other,2274.24,4.0,160.0,3
Sonnenahalli,1484.0,3.0,74.18,3
Indira Nagar,1650.0,3.0,220.0,3
Thanisandra,2280.0,4.0,184.0,3
Frazer Town,2079.0,3.0,220.0,3
Bharathi Nagar,1351.0,2.0,74.0,2
Kanakpura Road,1223.0,2.0,42.81,3
KR Puram,1430.0,2.0,61.0,3
Whitefield,3589.0,5.0,400.0,4
Channasandra,1800.0,4.0,300.0,4
Giri Nagar,1120.0,4.0,175.0,4
Sarjapur  Road,984.0,2.0,55.0,2
Jalahalli,1770.0,3.0,100.0,3
other,900.0,3.0,105.0,2
Ramamurthy Nagar,1350.0,5.0,120.0,5
Margondanahalli,1140.0,2.0,60.0,2
Bommanahalli,1170.0,2.0,34.0,2
other,1570.0,3.0,80.0,3
other,1495.0,2.0,65.0,3
Hoodi,1530.0,2.0,67.0,3
Rajaji Nagar,900.0,4.0,140.0,5
Gunjur,1800.0,3.0,70.0,3
Bellandur,1088.0,2.0,48.0,2
Hosa Road,1533.0,3.0,98.18,3
Rachenahalli,1100.0,2.0,68.0,2
Thubarahalli,1540.0,3.0,90.0,3
Hebbal,1244.0,3.0,48.0,2
Hosa Road,1040.0,2.0,68.59,2
other,1034.0,6.0,101.0,6
Begur Road,1260.0,2.0,39.69,2
Thigalarapalya,1245.0,2.0,100.0,2
other,1350.0,3.0,75.0,3
other,470.0,2.0,10.0,1
Vijayanagar,920.0,2.0,60.0,2
other,2300.0,7.0,160.0,6
Sarjapur,1124.0,2.0,30.35,2
Yelahanka New Town,2095.0,3.0,109.0,4
Begur Road,1100.0,2.0,71.42,2
Vijayanagar,1019.0,2.0,58.0,2
Harlur,1756.0,3.0,128.0,3
Bommasandra,1280.0,3.0,50.0,3
Kenchenahalli,1200.0,3.0,125.0,4
Indira Nagar,1700.0,3.0,150.0,3
Whitefield,2134.0,4.0,118.0,3
Hosa Road,1369.1,2.0,98.0,2
Subramanyapura,600.0,3.0,69.0,3
other,1313.0,4.0,150.0,3
other,2515.0,4.0,155.0,3
Thigalarapalya,2215.0,4.0,154.0,3
other,1440.0,3.0,72.0,3
Hennur Road,1186.0,2.0,55.33,3
Hebbal,1800.0,3.0,140.0,3
Kudlu,1600.0,3.0,79.0,3
GM Palaya,1000.0,2.0,35.0,2
Cunningham Road,2275.0,3.0,285.0,3
Binny Pete,1740.0,3.0,150.0,3
